scan,minmz,maxmz,charge
0,589.335463966,589.342536034,3
0,589.669061964,589.676138036,3
0,591.270452356,591.277547644,4
0,591.519650861,591.526749139,4
0,591.519650861,591.526749139,2
0,591.768449368,591.775550632,4
0,595.02312984,595.03027016,2
0,596.117723272,596.124876728,3
0,596.117723272,596.124876728,2
0,596.285122268,596.292277732,3
0,596.285122268,596.292277732,2
0,596.285122268,596.292277732,1
0,596.451721268,596.458878732,3
0,596.451721268,596.458878732,2
0,596.618620267,596.625779733,3
0,596.618620267,596.625779733,2
0,596.785819264,596.792980736,3
0,597.291116232,597.298283768,2
0,599.61360229700006,599.620797703,3
0,599.61360229700006,599.620797703,1
0,599.947300295,599.954499705,3
0,599.947300295,599.954499705,1
0,600.280798294,600.288001706,3
0,600.614496291,600.621703709,3
0,601.990388036,601.997611964,3
0,605.812765102,605.820034898,2
0,606.806759138,606.814040862,4
0,606.806759138,606.814040862,2
0,606.806759138,606.814040862,1
0,607.057757632,607.065042368,4
0,607.057757632,607.065042368,2
0,607.307056136,607.314343864,4
0,607.307056136,607.314343864,2
0,607.558154629,607.565445371,4
0,611.965728184,611.973071816,3
0,612.301826167,612.309173833,3
0,616.955998242,616.963401758,3
0,617.293396217,617.300803783,1
0,622.301666168,622.309133832,2
0,622.301666168,622.309133832,1
0,622.805263146,622.812736854,4
0,622.805263146,622.812736854,2
0,622.805263146,622.812736854,1
0,623.05596164200006,623.063438358,4
0,623.05596164200006,623.063438358,2
0,623.05596164200006,623.063438358,1
0,623.305060147,623.312539853,4
0,623.305060147,623.312539853,2
0,623.557158635,623.56464136500006,4
0,623.557158635,623.56464136500006,2
0,623.806357139,623.813842861,4
0,624.949050283,624.956549717,3
0,624.949050283,624.956549717,1
0,625.284348271,625.291851729,3
0,625.424347431,625.431852569,4
0,625.550846672,625.558353328,4
0,625.550846672,625.558353328,2
0,625.619346261,625.626853739,3
0,625.801145171,625.808654829,4
0,626.808439127,626.815960873,2
0,626.808439127,626.815960873,1
0,627.310336115,627.317863885,2
0,627.310336115,627.317863885,1
0,627.811833106,627.819366894,2
0,629.272624342,629.280175658,2
0,630.061119611,630.068680389,2
0,633.297400193,633.304999807,2
0,638.840566934,638.848233066,2
0,638.840566934,638.848233066,1
0,639.339763938,639.347436062,2
0,643.835836962,643.843563038,2
0,645.989324041,645.997075959,3
0,647.820313055,647.828086945,1
0,649.665201985,649.672998015,3
0,649.665201985,649.672998015,2
0,649.665201985,649.672998015,1
0,649.831600987,649.839399013,3
0,649.831600987,649.839399013,2
0,649.999199981,650.007000019,3
