ID	precursor number	monoisotopic m/z	charge	peak alpha	elution profile
227	167	360.02965	1	0.0	5548:3121.422,5567:5806.31,5586:328.8991
228	168	361.02385	1	0.0	5548:43.04682,5567:901.3981,5586:0.0
229	169	409.10985	1	46285.675325	5548:9672.225,5567:11108.71,5586:20519.22,5605:23894.86,5624:16891.96
230	169	409.10985	1	44549.7805707	5624:16891.96,5643:23503.92,5662:0.0
231	170	459.16905	1	22402.5161253	5263:0.0,5282:11454.04,5301:7621.727,5320:6309.741
232	170	459.16905	1	19668.6002663	5472:4976.054,5491:5371.542,5510:8018.599,5529:10025.99,5548:8077.381,5567:6245.872
233	170	459.16905	1	17589.1197102	5358:5329.719,5377:7811.545,5396:9332.008,5415:6295.793
234	170	459.16905	1	17263.5589987	5567:6245.872,5586:8225.872,5605:10350.52,5624:4148.681
235	170	459.16905	1	17250.4591444	5624:4148.681,5643:9125.878,5662:0.0
236	172	651.14275	1	17515.4828849	5605:9135.197,5624:9186.024,5643:12129.88
237	173	687.1953	1	18155.5516453	5548:0.0,5567:6120.176,5586:4495.975
238	174	760.149	1	94444.6108314	5548:0.0,5567:36955.56,5586:47739.54,5605:29274.22,5624:22129.51
239	175	368.08645	1	17194.6488611	5605:3140.879,5624:4097.683,5643:6838.476,5662:7476.101,5681:0.0
240	175	368.08645	1	14384.2192989	5472:3172.085,5491:5636.973,5510:2997.402
241	176	393.0812	1	59706.8549081	5624:8516.119,5643:19309.6,5662:16418.54
242	178	372.31785	1	22412.8327954	5567:0.0,5586:11229.89,5605:5931.924,5624:1831.799
243	179	432.87995	1	61837.1790675	5605:38725.94,5624:31565.45,5643:37475.81
244	181	373.0963	4	2.89492163574e-09	5586:775.0689,5605:0.0,5624:1159.873,5643:166.8406
245	182	400.3499	1	25362.8356236	5662:1299.195,5681:6627.664,5700:10899.57,5719:4142.602
246	182	400.3499	1	6443.93654021	5624:8232.764,5643:2904.701,5662:1299.195
247	183	413.264	1	59287.5966762	5149:21552.84,5168:25409.3,5187:31224.6,5206:22077.63
248	183	413.264	1	58180.3174339	5985:0.0,5016:30399.38,5035:25480.27
249	183	413.264	1	54482.9661353	5510:23445.98,5529:28472.91,5548:24833.58,5567:23308.38,5586:23296.69
250	183	413.264	1	53969.8510587	5662:22856.61,5681:26383.91,5700:27568.61,5719:25803.96
251	183	413.264	1	53277.4426575	5377:24627.16,5396:27472.18,5415:25602.52,5434:22931.71
252	183	413.264	1	50767.4943496	5073:23953.44,5092:27722.99,5111:25902.16,5130:22883.72,5149:21552.84
253	183	413.264	1	50568.2220079	5244:26978.38,5263:25975.4,5282:31721.82,5301:23153.36
254	183	413.264	1	49635.0279881	5434:22931.71,5453:25292.91,5472:26625.45,5491:26102.11,5510:23445.98
255	183	413.264	1	46156.8724962	5035:25480.27,5054:31154.74,5073:23953.44,5092:27722.99,5111:25902.16,5130:22883.72,5149:21552.84
256	184	424.0806	1	27831.5371683	5662:12637.85,5681:18614.15,5700:14273.79,5719:16130.12
257	185	432.0832	1	8265.34277405	5472:0.0,5491:14647.63,5510:2201.982
258	185	432.0832	1	5423.47316187	5605:0.0,5624:7655.894,5643:2964.311
259	186	476.19435	1	22645.151417	5643:11258.48,5662:12446.64,5681:13250.15,5700:8006.238
260	187	421.32775	2	34360.8612859	5662:11155.93,5681:10521.18,5700:9064.227
261	189	440.72165	2	18813.6754254	5662:6210.115,5681:6736.367,5700:9620.441,5719:7954.134
262	190	432.8799	4	54472.5618594	5510:606.4636,5529:27707.69,5548:5451.563
263	190	432.8799	4	53239.2909763	5681:4181.008,5700:26128.65,5719:4178.582
264	190	432.8799	4	52097.1573294	5396:19831.06,5415:26819.07,5434:24614.79,5453:23652.59,5472:5392.181
265	190	432.8799	4	46514.3396574	5358:0.0,5377:22904.37,5396:19831.06
266	191	402.19045	1	16447.8934932	5624:4475.616,5643:7211.327,5662:8156.234,5681:5519.316
267	191	402.19045	1	15492.29082	5719:5318.304,5738:7736.74,5757:0.0
268	192	408.0523	1	7073.55975745	5681:5028.079,5700:3245.366,5719:6871.485,5738:2865.265
269	193	579.11455	1	19392.4509532	5681:5160.368,5700:6295.713,5719:9794.427,5738:9236.656,5757:0.0
270	194	832.1444	1	134980.529725	5586:0.0,5605:56573.22,5624:61089.79,5643:39373.91,5662:20489.87
271	194	832.1444	1	89617.6244115	5700:32939.22,5719:43342.14,5738:33415.96
272	195	642.9469	4	15044.996714	5681:1117.938,5700:9128.171,5719:7044.598,5738:552.871
273	196	362.02765	1	23646.0441687	5700:8784.896,5719:10958.2,5738:10666.68,5757:9404.133
274	197	375.09495	1	1.81019688128e-09	5700:4142.92,5719:4654.231,5738:3867.247
275	198	404.1485	1	50745.5776716	5662:19447.21,5681:25852.13,5700:17704.65
276	199	455.1857	1	47935.2070966	5662:0.0,5681:24834.62,5700:22867.44,5719:19615.54
277	200	468.1005	1	5.18587578213e-07	5586:371.2694,5605:1762.872,5624:921.8625,5643:1095.237,5662:1034.662
278	200	468.1005	1	2.47935925124e-07	5510:1034.874,5529:1206.141,5548:2403.56,5567:1895.787,5586:371.2694
279	200	468.1005	1	1.85359425586e-07	5358:0.0,5377:737.1349,5396:5.829196
280	200	468.1005	1	1.23207613001e-08	5472:2334.438,5491:1812.783,5510:1034.874
281	200	468.1005	1	0.0	5662:1034.662,5681:2091.85,5700:1112.975
282	201	540.1604	1	2.73737422063e-07	5700:2349.526,5719:4284.199,5738:3389.136,5757:3243.508
283	202	550.2134	1	21425.6354198	5719:5465.739,5738:9650.118,5757:11099.19
284	203	607.20915	1	19282.6867842	5662:9840.157,5681:10025.88,5700:10863.66,5719:12453.26,5738:9681.309,5757:10618.17
285	206	388.18585	1	33027.7520066	5529:10051.65,5548:11175.59,5567:15750.73,5586:11506.1,5605:9008.938
286	206	388.18585	1	31590.8483684	5377:9979.794,5396:12238.76,5415:15210.18,5434:15338.0,5453:11171.78
287	206	388.18585	1	27896.7642116	5225:6100.413,5244:10885.18,5263:13493.38,5282:15427.93,5301:5468.696
288	206	388.18585	1	26832.2224438	5605:9008.938,5624:9993.885,5643:12823.5,5662:13374.61,5681:14075.54,5700:13853.37,5719:4150.109,5738:641.1394
289	206	388.18585	1	25248.2935312	5738:641.1394,5757:9033.884,5776:2425.941,5795:2178.678
290	206	388.18585	1	14479.5339589	5206:12570.65,5225:6100.413,5244:10885.18
291	207	393.08325	1	79603.8281389	5738:14789.28,5757:16195.99,5776:15582.29,5795:7970.568
292	208	394.085	1	3.23002313429e-06	5738:5901.133,5757:2442.28,5776:4199.522,5795:2963.306
293	210	409.1076	1	36846.9520982	5738:12671.22,5757:16393.21,5776:24316.53,5795:20060.35,5814:9333.324
294	210	409.1076	1	30287.0565897	5681:11274.53,5700:14808.69,5719:17689.14,5738:12671.22
295	212	681.2234	1	17108.9788521	5776:6062.645,5795:9101.004,5814:10515.32
296	213	421.3277	2	25316.8132825	5757:13130.03,5776:7675.028,5795:10492.53,5814:9918.778
