mzbin,feature,cluster,scan
447.1371,67,14,2
447.3905,67,14,2
446.1371,68,14,2
447.1371,68,14,2
448.1158,68,14,2
449.12075,68,14,2
447.1371,69,14,2
447.3905,69,14,2
448.1158,69,14,2
448.36335,69,14,2
447.1371,70,14,2
448.1158,70,14,2
449.12075,70,14,2
450.11645,70,14,2
447.3905,71,14,2
448.36335,71,14,2
448.1158,72,14,2
448.36335,72,14,2
449.12075,72,14,2
448.1158,73,14,2
449.12075,73,14,2
450.11645,73,14,2
449.12075,74,14,2
450.11645,74,14,2
455.1909,75,15,2
456.1909,75,15,2
459.17175,76,16,2
460.17175,76,16,2
462.14725,76,16,2
462.14725,77,16,2
463.14705,77,16,2
464.14705,77,16,2
465.14705,77,16,2
463.14705,78,16,2
464.14705,78,16,2
465.14705,78,16,2
466.1487,78,16,2
464.14705,79,16,2
465.14705,79,16,2
466.1487,79,16,2
467.1261,79,16,2
465.14705,80,16,2
466.1487,80,16,2
467.1261,80,16,2
468.1285666665,80,16,2
466.1487,81,16,2
467.1261,81,16,2
468.1285666665,81,16,2
469.2195333335,81,16,2
467.1261,82,16,2
468.1285666665,82,16,2
469.2195333335,82,16,2
467.8369,83,16,2
468.1285666665,83,16,2
468.5090166665,83,16,2
468.7612,83,16,2
469.2195333335,83,16,2
467.8369,84,16,2
468.1285666665,84,16,2
468.5090166665,84,16,2
468.7612,84,16,2
469.2195333335,84,16,2
468.1285666665,85,16,2
468.5090166665,85,16,2
468.7612,85,16,2
469.2195333335,85,16,2
468.1285666665,86,16,2
469.2195333335,86,16,2
468.5090166665,87,16,2
468.7612,87,16,2
469.2195333335,87,16,2
468.5090166665,88,16,2
469.2195333335,88,16,2
468.5090166665,89,16,2
469.2195333335,89,16,2
468.7612,90,16,2
469.2195333335,90,16,2
469.2195333335,91,16,2
469.2195333335,92,16,2
469.2195333335,93,16,2
503.1067,94,17,2
504.1074,94,17,2
505.12115,94,17,2
506.12115,94,17,2
504.1074,95,17,2
505.12115,95,17,2
506.12115,95,17,2
507.12035,95,17,2
505.12115,96,17,2
506.12115,96,17,2
507.12035,96,17,2
508.1524,96,17,2
506.12115,97,17,2
507.12035,97,17,2
508.1524,97,17,2
507.12035,98,17,2
507.4086666665,98,17,2
507.7765,98,17,2
508.1524,98,17,2
507.12035,99,17,2
507.7765,99,17,2
508.1524,99,17,2
507.12035,100,17,2
508.1524,100,17,2
507.4086666665,101,17,2
507.7765,101,17,2
508.1524,101,17,2
507.7765,102,17,2
508.1524,102,17,2
519.13845,103,18,2
520.13845,103,18,2
521.13845,103,18,2
522.13845,103,18,2
520.13845,104,18,2
521.13845,104,18,2
522.13845,104,18,2
523.1401,104,18,2
521.13845,105,18,2
522.13845,105,18,2
523.1401,105,18,2
524.1371,105,18,2
522.13845,106,18,2
523.1401,106,18,2
524.1371,106,18,2
523.1401,107,18,2
524.1371,107,18,2
536.16555,108,19,2
537.16555,108,19,2
538.16555,108,19,2
539.16555,108,19,2
537.16555,109,19,2
538.16555,109,19,2
539.16555,109,19,2
540.1668,109,19,2
538.16555,110,19,2
539.16555,110,19,2
540.1668,110,19,2
541.15635,110,19,2
539.16555,111,19,2
540.1668,111,19,2
541.15635,111,19,2
540.1668,112,19,2
541.15635,112,19,2
550.21685,113,20,2
551.21685,113,20,2
552.21685,113,20,2
551.21685,114,20,2
552.21685,114,20,2
577.1294,115,21,2
578.1287,115,21,2
579.1333,115,21,2
578.1287,116,21,2
579.1333,116,21,2
593.15855,117,22,2
594.15855,117,22,2
595.15755,117,22,2
596.15755,117,22,2
597.15755,117,22,2
594.15855,118,22,2
595.15755,118,22,2
596.15755,118,22,2
597.15755,118,22,2
595.15755,119,22,2
596.15755,119,22,2
597.15755,119,22,2
596.15755,120,22,2
597.15755,120,22,2
607.2092,121,23,2
608.2092,121,23,2
610.18435,121,23,2
611.18435,121,23,2
610.18435,122,23,2
